participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,56,106,1,1183.30000001192,Pre,image34.jpg,Classical_6.mp3,Image,1.0,1.0,1.0,1.0,image34.jpg,,1.0,1.0,0.0
4792,57,107,9,1252.60000002384,Pre,image15.jpg,Cut_jazz_14.mp3,Image,2.0,3.0,2.0,3.0,image15.jpg,,2.5,2.0,7.0
4862,4,108,3,891.09999999986,Post,image34.jpg,Classical_1.mp3,Image,4.0,8.0,4.0,8.0,image34.jpg,,6.0,4.0,-1.0
4862,5,109,4,1334.60000000009,Post,image17.jpg,Classical_18.mp3,Image,6.0,8.0,6.0,8.0,image17.jpg,,7.0,6.0,-2.0
4862,6,110,8,722.699999999953,Post,image35.jpg,Classical_4.mp3,Image,7.0,6.0,7.0,6.0,image35.jpg,,6.5,7.0,1.0
4862,7,111,6,946.90000000014,Post,image52.jpg,Cut_jazz_5.mp3,Both,3.0,7.0,,,image52.jpg,Cut_jazz_5.mp3,5.0,5.0,1.0
4862,8,112,6,1758.69999999995,Post,image4.jpg,Cut_jazz_1.mp3,Music,2.0,8.0,8.0,2.0,,Cut_jazz_1.mp3,5.0,8.0,-2.0
4862,9,113,5,1854.29999999981,Post,image20.jpg,Classical_6.mp3,Image,5.0,8.0,5.0,8.0,image20.jpg,,6.5,5.0,0.0
4862,10,114,7,869.40000000014,Post,image12.jpg,Cut_jazz_16.mp3,Music,7.0,5.0,5.0,7.0,,Cut_jazz_16.mp3,6.0,5.0,2.0
4862,11,115,6,692.200000000186,Post,image4.jpg,Classical_19.mp3,Both,2.0,8.0,,,image4.jpg,Classical_19.mp3,5.0,5.0,1.0
4862,12,116,7,2385.40000000014,Post,image2.jpg,Classical_8.mp3,Both,5.0,9.0,,,image2.jpg,Classical_8.mp3,7.0,7.0,0.0
4862,13,117,8,879.199999999953,Post,image14.jpg,Classical_18.mp3,Both,7.0,8.0,,,image14.jpg,Classical_18.mp3,7.5,7.5,0.5
4862,14,118,3,41925.0,Post,image1.jpg,Cut_jazz_16.mp3,Image,2.0,5.0,2.0,5.0,image1.jpg,,3.5,2.0,1.0
4862,15,119,4,3358.5,Post,image5.jpg,Cut_jazz_10.mp3,Music,6.0,5.0,5.0,6.0,,Cut_jazz_10.mp3,5.5,5.0,-1.0
4862,16,120,8,1417.0,Post,image36.jpg,Cut_jazz_2.mp3,Both,3.0,9.0,,,image36.jpg,Cut_jazz_2.mp3,6.0,6.0,2.0
4862,17,121,6,973.399999999907,Post,image14.jpg,Classical_15.mp3,Music,7.0,7.0,7.0,7.0,,Classical_15.mp3,7.0,7.0,-1.0
4862,18,122,4,886.800000000047,Post,image10.jpg,Cut_jazz_16.mp3,Both,3.0,5.0,,,image10.jpg,Cut_jazz_16.mp3,4.0,4.0,0.0
4862,19,123,8,768.59999999986,Post,image20.jpg,Classical_8.mp3,Music,5.0,9.0,9.0,5.0,,Classical_8.mp3,7.0,9.0,-1.0
4862,20,124,8,1216.59999999986,Post,image33.jpg,Classical_1.mp3,Music,4.0,8.0,8.0,4.0,,Classical_1.mp3,6.0,8.0,0.0
4862,21,125,7,1439.60000000009,Post,image14.jpg,Classical_17.mp3,Image,7.0,6.0,7.0,6.0,image14.jpg,,6.5,7.0,0.0
4862,22,126,9,534.90000000014,Post,image35.jpg,Classical_2.mp3,Music,7.0,8.0,8.0,7.0,,Classical_2.mp3,7.5,8.0,1.0
4862,23,127,6,1249.0,Post,image39.jpg,Cut_jazz_1.mp3,Both,6.0,8.0,,,image39.jpg,Cut_jazz_1.mp3,7.0,7.0,-1.0
4862,24,128,4,5880.30000000005,Post,image15.jpg,Classical_15.mp3,Image,5.0,7.0,5.0,7.0,image15.jpg,,6.0,5.0,-1.0
